Rang,Score,Classe,Titre,Entreprise,Pertinence,Statut,Date_candidature,Notes
1,85,A,Content Project Manager (F/H),Saatchi & Saatchi France,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste senior dans une agence de publicité prestigieuse
2,80,A,Responsable communication et marketing F/H,ESCP Business School,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste de direction dans l'enseignement supérieur
3,77,A,Responsable marketing,Adopte,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste de direction marketing
4,61,A,Chargé(e) de Webmarketing & Contenus Digitaux (H/F),The Sanctuary Group,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste spécialisé en contenus digitaux
5,59,A,Brand Designer,Brevo,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste de design de marque
6,55,A,CDD _ Brand Content Manager Editorial et Social F/H,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en CDD spécialisé en contenus de marque
7,54,A,YouTube Channel Manager Strategist - Freelance pour un média (H/F),Média (non spécifié),TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste freelance en gestion de chaîne YouTube
8,51,A,CRM & LIFECYCLE MARKETING MANAGER,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste senior en marketing CRM
9,51,A,PR Growth Partner,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en relations publiques et croissance
10,40,A,Chargé(e) de marketing omnicanal et data client (F/H),Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en marketing omnicanal et data
11,39,A,Senior Product Marketing Manager,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste senior en marketing produit
12,38,A,Analyste Acquisition & Growth (E-Commerce / DTC),Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en e-commerce et croissance
13,38,A,Consultant(e) Marketing Automation F/H,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en marketing automation
14,36,A,Lead Professional Energy Marketing Paris/France,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en marketing énergétique
15,36,A,E-learning Head of Growth,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en e-learning et croissance
16,31,A,Sales & Marketing Specialist / Growth Strategist,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en stratégie de croissance
17,27,A,Director of International Sales,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste de direction commerciale internationale
18,26,A,Marketing DIGITAL/ Plateforme de voyage,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en marketing digital voyage
19,25,A,Product Manager -Advertising,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en marketing produit publicitaire
20,23,A,Senior Marketing Manager,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste senior en marketing
21,22,A,Product Marketing Manager,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en marketing produit
22,19,A,Rédactrice - Rédacteur MOA H/F,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste de rédaction
